Row ID;Row Name;regionType;category;padding1;dummyPoly1;dummyPoly2;radius;angle;depth;width;height;baseHeightOffset;angleCheckType;padding2;allowAngle;spotDummyPoly;textBoxType;padding3;padding5;isInvalidForRide;isGrayoutForRide;isInvalidForCrouching;isGrayoutForCrouching;padding4;textId;invalidFlag;grayoutFlag;overrideActionButtonIdForRide;execInvalidTime;padding6
6533;;1;5;[0|0];-1;-1;0;180;4.5;1.4;3;-2.25;0;[0|0|0];180;-1;0;[0|0];0;0;1;0;1;0;10010553;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6534;;1;5;[0|0];-1;-1;0;180;4.5;1.4;3;-2.25;0;[0|0|0];180;-1;0;[0|0];0;0;1;0;1;0;10010554;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6540;Talk;0;4;[0|0];-1;-1;2.5;115;0;0;2;-1;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;7000;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6550;;0;5;[0|0];-1;-1;2;180;0;0;2;-1;0;[0|0|0];180;-1;0;[0|0];0;0;1;0;1;0;99994005;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6560;;0;5;[0|0];-1;-1;2;180;0;0;2;-1;0;[0|0|0];180;-1;0;[0|0];0;0;1;0;1;0;99992005;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6570;Talk;0;4;[0|0];-1;-1;40;40;0;0;13.5;-8;0;[0|0|0];45;-1;0;[0|0];0;0;1;0;0;0;7000;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6580;Examine altar;0;4;[0|0];-1;-1;2.5;180;0;0;2;-1;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;7270;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6590;Examine grave;0;4;[0|0];-1;-1;2.5;180;0;0;2;-1;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;7280;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6600;Talk;0;4;[0|0];-1;-1;1.5;180;0;0;1.5;-0.55;0;[0|0|0];180;-1;0;[0|0];0;0;1;0;1;0;7000;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6610;;0;4;[0|0];-1;-1;2.5;180;0;0;2;-1;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;7500;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6611;;0;4;[0|0];-1;-1;2.5;180;0;0;2;-1;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;7501;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6612;;0;4;[0|0];-1;-1;2.5;180;0;0;2;-1;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;7502;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6613;;0;4;[0|0];-1;-1;2.5;180;0;0;2;-1;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;0;0;7503;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
6700;Examine;0;4;[0|0];-1;-1;2;180;0;0;1;-0.25;0;[0|0|0];180;-1;0;[0|0];0;0;1;0;1;0;1000;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7100;Open;0;5;[0|0];100;-1;1.2;90;0;0;1;-0.25;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;1;0;3100;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7101;Open;0;5;[0|0];101;-1;1.2;90;0;0;1;-0.25;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;1;0;3100;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7102;Open;0;5;[0|0];100;-1;1.2;90;0;0;1.5;-1;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;1;0;3100;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7110;Close;0;5;[0|0];100;-1;1.2;90;0;0;1;-0.25;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;1;0;3101;0;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7200;Open;0;5;[0|0];100;-1;1.2;90;0;0;1;-0.25;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;1;0;3100;201;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7201;Open;0;5;[0|0];101;-1;1.2;90;0;0;1;-0.25;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;1;0;3100;201;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7202;Open;0;5;[0|0];100;-1;1.2;90;0;0;1.5;-1;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;1;0;3100;201;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7210;Close;0;5;[0|0];100;-1;1.2;90;0;0;1;-0.25;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;1;0;3101;201;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7220;Open;0;5;[0|0];100;-1;1.2;90;0;0;1.25;-0.5;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;1;0;3100;201;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7300;Open;0;5;[0|0];100;-1;1.2;90;0;0;1;-0.25;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;1;0;3100;202;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7301;Open;0;5;[0|0];101;-1;1.2;90;0;0;1;-0.25;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;1;0;3100;202;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7320;Open;0;5;[0|0];100;-1;1.2;90;0;0;1.25;-0.5;0;[0|0|0];90;-1;0;[0|0];0;0;1;0;1;0;3100;202;0;-1;3;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7800;Acquire materials;0;2;[0|0];-1;-1;2.5;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2800;0;0;-1;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7810;Acquire materials;0;2;[0|0];-1;-1;2.5;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2810;0;0;7860;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7811;Acquire materials;0;2;[0|0];-1;-1;2.5;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2811;0;0;7861;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7812;Acquire materials;0;2;[0|0];-1;-1;2.5;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2812;0;0;7862;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7813;Acquire materials;0;2;[0|0];-1;-1;2.5;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2813;0;0;7863;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7814;Acquire materials;0;2;[0|0];-1;-1;2.5;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2814;0;0;7864;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7815;Acquire materials;0;2;[0|0];-1;-1;2.5;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2815;0;0;7865;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7816;Acquire materials;0;2;[0|0];-1;-1;2.5;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2816;0;0;7866;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7817;Acquire materials;0;2;[0|0];-1;-1;2.5;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2817;0;0;7867;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7818;Acquire materials;0;2;[0|0];-1;-1;2.5;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2818;0;0;7868;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7819;Acquire materials;0;2;[0|0];-1;-1;2.5;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2819;0;0;7869;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7820;Acquire materials;0;2;[0|0];-1;-1;2.5;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2820;0;0;7870;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7821;Acquire materials;0;2;[0|0];-1;-1;2.5;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2821;0;0;7871;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7822;Acquire materials;0;2;[0|0];-1;-1;2.5;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2822;0;0;7872;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7823;Acquire materials;0;2;[0|0];-1;-1;2.5;180;0;0;2.75;-2;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2823;0;0;7873;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7824;Acquire materials;0;2;[0|0];-1;-1;2.5;180;0;0;2.75;-2;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2824;0;0;7874;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7825;Acquire materials;0;2;[0|0];-1;-1;2.5;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2825;0;0;7875;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7826;Acquire materials;0;2;[0|0];-1;-1;2.5;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2826;0;0;7876;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7827;Acquire materials;0;2;[0|0];-1;-1;2.5;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2827;0;0;7877;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7828;Acquire materials;0;2;[0|0];-1;-1;2.5;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2828;0;0;7878;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7850;Acquire materials;0;2;[0|0];-1;-1;3.8;180;0;0;2.5;-1;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2810;0;0;-1;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7860;Acquire materials;0;2;[0|0];-1;-1;3.8;180;0;0;2.5;-1;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2810;0;0;-1;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7861;Acquire materials;0;2;[0|0];-1;-1;3.8;180;0;0;2.5;-1;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2811;0;0;-1;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7862;Acquire materials;0;2;[0|0];-1;-1;3.8;180;0;0;2.5;-1;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2812;0;0;-1;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7863;Acquire materials;0;2;[0|0];-1;-1;3.8;180;0;0;2.5;-1;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2813;0;0;-1;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7864;Acquire materials;0;2;[0|0];-1;-1;3.8;180;0;0;2.5;-1;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2814;0;0;-1;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7865;Acquire materials;0;2;[0|0];-1;-1;3.8;180;0;0;2.5;-1;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2815;0;0;-1;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7866;Acquire materials;0;2;[0|0];-1;-1;3.8;180;0;0;2.5;-1;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2816;0;0;-1;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7867;Acquire materials;0;2;[0|0];-1;-1;3.8;180;0;0;2.5;-1;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2817;0;0;-1;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7868;Acquire materials;0;2;[0|0];-1;-1;3.8;180;0;0;2.5;-1;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2818;0;0;-1;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7869;Acquire materials;0;2;[0|0];-1;-1;3.8;180;0;0;2.5;-1;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2819;0;0;-1;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7870;Acquire materials;0;2;[0|0];-1;-1;3.8;180;0;0;2.5;-1;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2820;0;0;-1;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7871;Acquire materials;0;2;[0|0];-1;-1;3.8;180;0;0;2.5;-1;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2821;0;0;-1;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7872;Acquire materials;0;2;[0|0];-1;-1;3.8;180;0;0;2.5;-1;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2822;0;0;-1;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7873;Acquire materials;0;2;[0|0];-1;-1;3.8;180;0;0;2.75;-2;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2823;0;0;-1;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7874;Acquire materials;0;2;[0|0];-1;-1;3.8;180;0;0;2.75;-2;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2824;0;0;-1;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7875;Acquire materials;0;2;[0|0];-1;-1;3.8;180;0;0;2.5;-1;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2825;0;0;-1;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7876;Acquire materials;0;2;[0|0];-1;-1;3.8;180;0;0;2.5;-1;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2826;0;0;-1;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7877;Acquire materials;0;2;[0|0];-1;-1;3.8;180;0;0;2.5;-1;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2827;0;0;-1;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7878;Acquire materials;0;2;[0|0];-1;-1;3.8;180;0;0;2.5;-1;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2828;0;0;-1;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7900;Acquire materials (St. Trina's Lily);0;2;[0|0];-1;-1;2.5;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2810;1049630150;0;7950;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7901;Acquire materials (Miquella's Lily);0;2;[0|0];-1;-1;2.5;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2810;1049630151;0;7951;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7902;Acquire materials (Grave Violet);0;2;[0|0];-1;-1;2.5;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2810;1049630152;0;7952;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7903;Acquire materials (Faded Erdleaf Flower);0;2;[0|0];-1;-1;2.5;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2810;1049630153;0;7953;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7904;Acquire materials (Erdtree Flower);0;2;[0|0];-1;-1;2.5;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2810;1049630154;0;7954;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7905;Acquire materials (Altus Bloom);0;2;[0|0];-1;-1;2.5;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2810;1049630155;0;7955;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7906;Acquire materials (Fire Blossom);0;2;[0|0];-1;-1;2.5;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2810;1049630156;0;7956;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7907;Acquire materials (Golden Sunflower);0;2;[0|0];-1;-1;2.5;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2810;1049630157;0;7957;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7908;Acquire materials (Fulgurbloom);0;2;[0|0];-1;-1;2.5;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2810;1049630158;0;7958;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7909;Acquire materials (Tarnished Golden Sunflower);0;2;[0|0];-1;-1;2.5;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2810;1049630159;0;7959;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7910;Acquire materials (Herba);0;2;[0|0];-1;-1;2.5;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2810;1049630160;0;7960;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7911;Acquire materials (Arteria Leaf);0;2;[0|0];-1;-1;2.5;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2810;1049630161;0;7961;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7912;Acquire materials (Dewkissed Herba);0;2;[0|0];-1;-1;2.5;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2810;1049630162;0;7962;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7913;Acquire materials (Rowa Fruit);0;2;[0|0];-1;-1;2.5;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2810;1049630163;0;7963;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7914;Acquire materials (Golden Rowa);0;2;[0|0];-1;-1;2.5;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2810;1049630164;0;7964;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7915;Acquire materials (Rimed Rowa);0;2;[0|0];-1;-1;2.5;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2810;1049630165;0;7965;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7916;Acquire materials (Bloodrose);0;2;[0|0];-1;-1;2.5;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2810;1049630166;0;7966;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7917;Acquire materials (Eye of Yelough);0;2;[0|0];-1;-1;2.5;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2810;1049630167;0;7967;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7918;Acquire materials (Crystal Bud);0;2;[0|0];-1;-1;2.5;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2810;1049630168;0;7968;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7919;Acquire materials (Rimed Crystal Bud);0;2;[0|0];-1;-1;2.5;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2810;1049630169;0;7969;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7920;Acquire materials (Sacramental Bud);0;2;[0|0];-1;-1;2.5;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2810;1049630170;0;7970;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7921;Acquire materials (Mushroom);0;2;[0|0];-1;-1;2.5;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2810;1049630171;0;7971;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7922;Acquire materials (Melted Mushroom);0;2;[0|0];-1;-1;2.5;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2810;1049630172;0;7972;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7923;Acquire materials (Toxic Mushroom);0;2;[0|0];-1;-1;2.5;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2810;1049630173;0;7973;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7924;Acquire materials (Root Resin);0;2;[0|0];-1;-1;2.5;180;0;0;1.5;-0.75;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2810;1049630174;0;7974;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7950;Acquire materials (St. Trina's Lily);0;2;[0|0];-1;-1;3.8;180;0;0;2.5;-1;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2810;1049630150;0;-1;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
7951;Acquire materials (Miquella's Lily);0;2;[0|0];-1;-1;3.8;180;0;0;2.5;-1;0;[0|0|0];180;-1;0;[0|0];0;0;0;0;0;0;2810;1049630151;0;-1;0;[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0];
