Row ID;Row Name;disableParam_NT;sortId;wanderingEquipId;resistSleep;resistMadness;saDurability;toughnessCorrectRate;fixPrice;basicPrice;sellValue;weight;residentSpEffectId;residentSpEffectId2;residentSpEffectId3;materialSetId;partsDamageRate;corectSARecover;originEquipPro;originEquipPro1;originEquipPro2;originEquipPro3;originEquipPro4;originEquipPro5;originEquipPro6;originEquipPro7;originEquipPro8;originEquipPro9;originEquipPro10;originEquipPro11;originEquipPro12;originEquipPro13;originEquipPro14;originEquipPro15;faceScaleM_ScaleX;faceScaleM_ScaleZ;faceScaleM_MaxX;faceScaleM_MaxZ;faceScaleF_ScaleX;faceScaleF_ScaleZ;faceScaleF_MaxX;faceScaleF_MaxZ;qwcId;equipModelId;iconIdM;iconIdF;knockBack;knockbackBounceRate;durability;durabilityMax;defFlickPower;defensePhysics;defenseMagic;defenseFire;defenseThunder;defenseSlash;defenseBlow;defenseThrust;resistPoison;resistDisease;resistBlood;resistCurse;reinforceTypeId;trophySGradeId;shopLv;knockbackParamId;flickDamageCutRate;equipModelCategory;equipModelGender;protectorCategory;rarity;sortGroupId;partsDmgType;isDeposit;headEquip;bodyEquip;armEquip;legEquip;useFaceScale;isSkipWeakDamageAnim;defenseMaterialVariationValue_Weak;autoFootEffectDecalBaseId2;autoFootEffectDecalBaseId3;defenseMaterialVariationValue;isDiscard;isDrop;disableMultiDropShare;simpleModelForDlc;showLogCondType;showDialogCondType;neutralDamageCutRate;slashDamageCutRate;blowDamageCutRate;thrustDamageCutRate;magicDamageCutRate;fireDamageCutRate;thunderDamageCutRate;defenseMaterialSfx1;defenseMaterialSfx_Weak1;defenseMaterial1;defenseMaterial_Weak1;defenseMaterialSfx2;defenseMaterialSfx_Weak2;footMaterialSe;defenseMaterial_Weak2;autoFootEffectDecalBaseId1;toughnessDamageCutRate;toughnessRecoverCorrection;darkDamageCutRate;defenseDark;postureControlId;saleValue;resistFreeze;invisibleFlag_SexVer00;invisibleFlag_SexVer01;invisibleFlag_SexVer02;invisibleFlag_SexVer03;invisibleFlag_SexVer04;invisibleFlag_SexVer05;invisibleFlag_SexVer06;invisibleFlag_SexVer07;invisibleFlag_SexVer08;invisibleFlag_SexVer09;invisibleFlag_SexVer10;invisibleFlag_SexVer11;invisibleFlag_SexVer12;invisibleFlag_SexVer13;invisibleFlag_SexVer14;invisibleFlag_SexVer15;invisibleFlag_SexVer16;invisibleFlag_SexVer17;invisibleFlag_SexVer18;invisibleFlag_SexVer19;invisibleFlag_SexVer20;invisibleFlag_SexVer21;invisibleFlag_SexVer22;invisibleFlag_SexVer23;invisibleFlag_SexVer24;invisibleFlag_SexVer25;invisibleFlag_SexVer26;invisibleFlag_SexVer27;invisibleFlag_SexVer28;invisibleFlag_SexVer29;invisibleFlag_SexVer30;invisibleFlag_SexVer31;invisibleFlag_SexVer32;invisibleFlag_SexVer33;invisibleFlag_SexVer34;invisibleFlag_SexVer35;invisibleFlag_SexVer36;invisibleFlag_SexVer37;invisibleFlag_SexVer38;invisibleFlag_SexVer39;invisibleFlag_SexVer40;invisibleFlag_SexVer41;invisibleFlag_SexVer42;invisibleFlag_SexVer43;invisibleFlag_SexVer44;invisibleFlag_SexVer45;invisibleFlag_SexVer46;invisibleFlag_SexVer47;invisibleFlag_SexVer48;invisibleFlag_SexVer49;invisibleFlag_SexVer50;invisibleFlag_SexVer51;invisibleFlag_SexVer52;invisibleFlag_SexVer53;invisibleFlag_SexVer54;invisibleFlag_SexVer55;invisibleFlag_SexVer56;invisibleFlag_SexVer57;invisibleFlag_SexVer58;invisibleFlag_SexVer59;invisibleFlag_SexVer60;invisibleFlag_SexVer61;invisibleFlag_SexVer62;invisibleFlag_SexVer63;invisibleFlag_SexVer64;invisibleFlag_SexVer65;invisibleFlag_SexVer66;invisibleFlag_SexVer67;invisibleFlag_SexVer68;invisibleFlag_SexVer69;invisibleFlag_SexVer70;invisibleFlag_SexVer71;invisibleFlag_SexVer72;invisibleFlag_SexVer73;invisibleFlag_SexVer74;invisibleFlag_SexVer75;invisibleFlag_SexVer76;invisibleFlag_SexVer77;invisibleFlag_SexVer78;invisibleFlag_SexVer79;invisibleFlag_SexVer80;invisibleFlag_SexVer81;invisibleFlag_SexVer82;invisibleFlag_SexVer83;invisibleFlag_SexVer84;invisibleFlag_SexVer85;invisibleFlag_SexVer86;invisibleFlag_SexVer87;invisibleFlag_SexVer88;invisibleFlag_SexVer89;invisibleFlag_SexVer90;invisibleFlag_SexVer91;invisibleFlag_SexVer92;invisibleFlag_SexVer93;invisibleFlag_SexVer94;invisibleFlag_SexVer95
231000;Night's Cavalry Helm (Altered);1;509030;0;9;9;0;0.005;1050;0;500;5.1;-1;-1;-1;7000;1.5;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;1;1;1;1;1;-1;1691;13290;13290;0;0;0;0;0;0;0;0;0;0;0;0;13;13;21;9;0;-1;-1;1;0;5;4;0;1;100;0;1;1;0;0;0;1;0;0;-1;-1;0;1;1;0;0;1;2;0.952;0.952;0.956;0.956;0.964;0.956;0.964;109;110;106;110;106;139;139;139;-1;1;0;0.956;0;0;0;21;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
231100;Night's Cavalry Armor (Altered);1;609030;0;21;21;100;0.017;1150;0;500;11.8;-1;-1;-1;7000;1;-0.4;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;1;1;1;1;1;-1;1691;13291;13291;0;0;0;0;0;0;0;0;0;0;0;0;32;32;50;21;0;-1;-1;1;0;2;4;1;1;100;0;1;0;1;0;0;0;0;0;-1;-1;0;1;1;0;0;1;2;0.865;0.865;0.876;0.876;0.898;0.876;0.898;109;50;106;50;106;139;139;139;-1;1;0;0.876;0;0;0;50;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;1;0;1;1;1;0;0;1;1;1;1;0;1;0;0;0;0;0;0;1;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
240000;Blue Silver Mail Hood;1;506160;0;5;5;0;0.004;1050;0;500;3.8;-1;-1;-1;7000;1.5;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;1;1;1;1;1;-1;1700;13300;13300;0;0;0;0;0;0;0;0;0;0;0;0;10;10;24;5;0;-1;-1;1;0;5;4;0;1;70;0;1;1;0;0;0;1;0;0;-1;-1;0;1;1;0;0;1;2;0.958;0.956;0.969;0.962;0.964;0.966;0.975;109;110;144;110;144;139;139;139;-1;1;0;0.975;0;0;0;24;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
240100;Blue Silver Mail Armor;1;606100;0;18;18;100;0.014;1150;0;500;9.2;-1;-1;-1;7000;1;-0.4;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;1;1;1;1;1;-1;1700;13301;13301;0;0;0;0;0;0;0;0;0;0;0;0;25;25;60;18;0;-1;-1;1;0;2;3;1;1;70;0;1;0;1;0;0;0;0;0;-1;-1;0;1;1;0;0;1;2;0.876;0.871;0.905;0.886;0.891;0.898;0.92;109;50;113;50;113;139;139;139;-1;1;0;0.92;0;0;0;60;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;1;0;1;1;1;1;0;1;0;1;1;1;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
240200;Blue Silver Bracelets;1;705140;0;4;4;0;0.001;1150;0;500;2.1;-1;-1;-1;7000;1.1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;1;1;1;1;1;-1;1700;13302;13302;0;0;0;0;0;0;0;0;0;0;0;0;4;4;14;4;0;-1;-1;1;0;1;4;2;1;60;0;1;0;0;1;0;0;0;0;-1;-1;0;1;1;0;0;1;2;0.977;0.975;0.985;0.981;0.981;0.984;0.99;109;50;106;50;106;139;139;139;-1;1;0;0.99;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
240300;Blue Silver Mail Skirt;1;805130;0;7;7;0;0.007;1250;0;500;5.5;-1;-1;-1;7000;1.1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;1;1;1;1;1;-1;1700;13303;13303;0;0;0;0;0;0;0;0;0;0;0;0;15;15;35;7;0;-1;-1;1;0;6;4;3;1;60;0;1;0;0;0;1;0;0;0;-1;-1;0;1;1;0;0;1;2;0.932;0.929;0.95;0.938;0.942;0.946;0.96;109;50;144;50;144;139;109;139;111;1;0;0.96;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
241100;Blue Silver Mail Armor (Altered);1;606110;0;10;10;100;0.01;1150;0;500;8.5;-1;-1;-1;7000;1;-0.4;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;1;1;1;1;1;-1;1701;13311;13311;0;0;0;0;0;0;0;0;0;0;0;0;21;21;52;10;0;-1;-1;1;0;2;3;1;1;70;0;1;0;1;0;0;0;0;0;-1;-1;0;1;1;0;0;1;2;0.879;0.874;0.91;0.889;0.896;0.903;0.927;109;50;144;50;144;139;139;139;-1;1;0;0.927;0;0;0;52;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;1;1;1;1;0;1;0;1;1;1;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
250000;Nomadic Merchant's Chapeau;1;504040;0;31;31;0;0.001;1050;0;100;3;-1;-1;-1;7000;1.5;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;1;1;1;1;1;-1;1710;13320;13320;0;0;0;0;0;0;0;0;0;0;0;0;24;24;14;20;0;-1;-1;1;0;5;4;0;1;50;0;1;1;0;0;0;1;0;0;-1;-1;0;1;1;0;0;1;2;0.972;0.975;0.969;0.977;0.966;0.966;0.966;109;110;113;110;113;139;139;139;-1;1;0;0.969;0;0;0;14;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;1;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
250100;Nomadic Merchant's Finery;1;603050;0;71;71;100;0.003;1150;0;100;7.2;-1;-1;-1;7000;1;-0.4;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;1;1;1;1;1;-1;1710;13321;13321;0;0;0;0;0;0;0;0;0;0;0;0;57;57;32;46;0;-1;-1;1;0;2;4;1;1;40;0;1;0;1;0;0;0;0;0;-1;-1;0;1;1;0;0;1;2;0.92;0.929;0.912;0.933;0.905;0.905;0.905;109;50;113;50;113;139;139;139;-1;1;0;0.912;0;0;0;32;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;1;0;1;0;1;0;1;1;0;1;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
250300;Nomadic Merchant's Trousers;1;803050;0;44;44;0;0.002;1250;0;100;4.4;-1;-1;-1;7000;1.1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;1;1;1;1;1;-1;1710;13323;13323;0;0;0;0;0;0;0;0;0;0;0;0;35;35;20;29;0;-1;-1;1;0;6;4;3;1;40;0;1;0;0;0;1;0;0;0;-1;-1;0;1;1;0;0;1;2;0.955;0.96;0.95;0.962;0.946;0.946;0.946;109;50;113;50;113;139;108;139;111;1;0;0.95;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
251100;Nomadic Merchant's Finery (Altered);1;603060;0;61;61;100;0.001;1150;0;100;6.1;-1;-1;-1;7000;1;-0.4;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;1;1;1;1;1;-1;1711;13331;13331;0;0;0;0;0;0;0;0;0;0;0;0;50;50;25;38;0;-1;-1;1;0;2;4;1;1;40;0;1;0;1;0;0;0;0;0;-1;-1;0;1;1;0;0;1;2;0.93;0.934;0.921;0.94;0.913;0.913;0.913;109;50;108;50;108;139;139;139;-1;1;0;0.921;0;0;0;25;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;1;1;1;0;1;0;1;1;0;1;0;1;0;0;0;0;0;0;1;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
260000;Malformed Dragon Helm;1;509080;0;16;16;0;0.008;1050;0;1000;6.8;-1;-1;-1;7000;1.5;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;1;1;1;1;1;-1;1720;13340;13340;0;0;0;0;0;0;0;0;0;0;0;0;24;24;33;16;0;-1;-1;1;0;5;4;0;2;100;0;1;1;0;0;0;1;0;0;-1;-1;0;1;1;0;0;1;2;0.939;0.937;0.946;0.939;0.954;0.954;0.951;109;110;106;110;106;139;139;139;-1;1;0;0.954;0;0;0;33;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
260100;Malformed Dragon Armor;1;609120;0;38;38;100;0.026;1150;0;1000;16;-1;-1;-1;7000;1;-0.4;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;1;1;1;1;1;-1;1720;13341;13341;0;0;0;0;0;0;0;0;0;0;0;0;57;57;76;38;0;-1;-1;1;0;2;4;1;2;100;0;1;0;1;0;0;0;0;0;-1;-1;0;1;1;0;0;1;2;0.832;0.825;0.85;0.832;0.87;0.87;0.862;109;50;106;50;106;139;139;139;-1;1;0;0.87;0;0;0;76;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;1;1;0;1;1;0;1;0;1;1;0;1;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
260200;Malformed Dragon Gauntlets;1;708060;0;13;13;0;0.006;1150;0;1000;5.3;-1;-1;-1;7000;1.1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;1;1;1;1;1;-1;1720;13342;13342;0;0;0;0;0;0;0;0;0;0;0;0;19;19;25;13;0;-1;-1;1;0;1;4;2;2;90;0;1;0;0;1;0;0;0;0;-1;-1;0;1;1;0;0;1;2;0.958;0.956;0.963;0.958;0.968;0.968;0.966;109;50;106;50;106;139;139;139;-1;1;0;0.968;0;0;0;25;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
260300;Malformed Dragon Greaves;1;808060;0;24;24;0;0.016;1250;0;1000;9.9;-1;-1;-1;7000;1.1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;1;1;1;1;1;-1;1720;13343;13343;0;0;0;0;0;0;0;0;0;0;0;0;35;35;47;24;0;-1;-1;1;0;6;4;3;2;90;0;1;0;0;0;1;0;0;0;-1;-1;0;1;1;0;0;1;2;0.904;0.899;0.914;0.904;0.926;0.926;0.921;109;50;106;50;106;139;139;139;111;1;0;0.926;0;0;0;47;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
270000;Tree Sentinel Helm;1;509070;0;18;18;0;0.009;1050;0;1000;8.1;-1;-1;-1;7000;1.5;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;1;1;1;1;1;-1;1730;13350;13350;0;0;0;0;0;0;0;0;0;0;0;0;29;29;39;20;0;-1;-1;1;0;5;4;0;2;100;0;1;1;0;0;0;1;0;0;-1;-1;0;1;1;0;0;1;2;0.932;0.932;0.946;0.937;0.954;0.938;0.955;109;110;106;110;106;139;139;139;-1;1;0;0.95;0;0;0;39;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
270100;Tree Sentinel Armor;1;609100;0;42;42;100;0.028;1150;0;1000;18.9;-1;-1;-1;7000;1;-0.4;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;1;1;1;1;1;-1;1730;13351;13351;0;0;0;0;0;0;0;0;0;0;0;0;67;67;90;46;0;-1;-1;1;0;2;4;1;2;100;0;1;0;1;0;0;0;0;0;-1;-1;0;1;1;0;0;1;2;0.813;0.813;0.85;0.825;0.87;0.829;0.874;109;50;106;50;106;139;139;139;-1;1;0;0.859;0;0;0;90;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;1;1;1;0;1;1;0;0;1;1;0;1;0;1;0;0;0;0;0;0;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
270200;Tree Sentinel Gauntlets;1;708050;0;14;14;0;0.006;1150;0;1000;6.3;-1;-1;-1;7000;1.1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;1;1;1;1;1;-1;1730;13352;13352;0;0;0;0;0;0;0;0;0;0;0;0;22;22;30;15;0;-1;-1;1;0;1;4;2;2;90;0;1;0;0;1;0;0;0;0;-1;-1;0;1;1;0;0;1;2;0.953;0.953;0.963;0.956;0.968;0.957;0.969;109;50;106;50;106;139;139;139;-1;1;0;0.965;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
270300;Tree Sentinel Greaves;1;808050;0;26;26;0;0.017;1250;0;1000;11.7;-1;-1;-1;7000;1.1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;1;1;1;1;1;-1;1730;13353;13353;0;0;0;0;0;0;0;0;0;0;0;0;41;41;56;29;0;-1;-1;1;0;6;4;3;2;90;0;1;0;0;0;1;0;0;0;-1;-1;0;1;1;0;0;1;2;0.892;0.892;0.914;0.899;0.926;0.901;0.928;109;50;106;50;106;139;139;139;111;1;0;0.919;0;0;0;56;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
271100;Tree Sentinel Armor (Altered);1;609110;0;34;34;100;0.025;1150;0;1000;18.1;-1;-1;-1;7000;1;-0.4;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;1;1;1;1;1;-1;1731;13361;13361;0;0;0;0;0;0;0;0;0;0;0;0;57;57;75;38;0;-1;-1;1;0;2;4;1;2;100;0;1;0;1;0;0;0;0;0;-1;-1;0;1;1;0;0;1;2;0.815;0.815;0.852;0.827;0.874;0.836;0.876;109;50;106;50;106;139;139;139;-1;1;0;0.86;0;0;0;75;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;1;1;1;0;1;1;0;0;1;1;0;1;0;1;0;0;0;0;0;0;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
280000;Royal Knight Helm;1;508100;0;15;15;0;0.008;1050;0;1000;6.6;-1;-1;-1;7000;1.5;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;1;1;1;1;1;-1;1740;13370;13370;0;0;0;0;0;0;0;0;0;0;0;0;22;22;29;15;0;-1;-1;1;0;5;4;0;2;90;0;1;1;0;0;0;1;0;0;-1;-1;0;1;1;0;0;1;2;0.942;0.937;0.948;0.939;0.95;0.953;0.956;109;110;106;110;106;139;139;139;-1;1;0;0.954;0;0;0;29;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
280100;Royal Knight Armor;1;608170;0;35;35;100;0.024;1150;0;1000;15.5;-1;-1;-1;7000;1;-0.4;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;1;1;1;1;1;-1;1740;13371;13371;0;0;0;0;0;0;0;0;0;0;0;0;50;50;67;35;0;-1;-1;1;0;2;4;1;2;90;0;1;0;1;0;0;0;0;0;-1;-1;0;1;1;0;0;1;2;0.84;0.825;0.856;0.832;0.859;0.867;0.876;109;50;106;50;106;139;139;139;-1;1;0;0.87;0;0;0;67;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;1;1;0;1;1;0;1;0;1;1;0;1;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
280200;Royal Knight Gauntlets;1;707090;0;12;12;0;0.005;1150;0;1000;5.2;-1;-1;-1;7000;1.1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;1;1;1;1;1;-1;1740;13372;13372;0;0;0;0;0;0;0;0;0;0;0;0;17;17;22;12;0;-1;-1;1;0;1;4;2;2;80;0;1;0;0;1;0;0;0;0;-1;-1;0;1;1;0;0;1;2;0.96;0.956;0.964;0.958;0.965;0.967;0.969;109;50;106;50;106;139;139;139;-1;1;0;0.968;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
