Row ID;Row Name;regionType;category;dummyPoly1;dummyPoly2;radius;angle;depth;width;height;baseHeightOffset;angleCheckType;allowAngle;spotDummyPoly;textBoxType;isInvalidForRide;isGrayoutForRide;isInvalidForCrouching;isGrayoutForCrouching;textId;invalidFlag;grayoutFlag;overrideActionButtonIdForRide;execInvalidTime
9290;Return to entrance;0;5;-1;-1;1.5;180;0;0;1.5;-0.25;0;180;-1;0;0;1;0;1;9290;0;0;-1;3;
9300;Examine;0;5;-1;-1;1.5;180;0;0;1.5;-0.25;0;180;-1;0;0;0;0;1;1000;0;0;-1;3;
9310;Examine;0;5;-1;-1;2;180;0;0;1.5;-0.25;0;180;-1;0;0;1;0;1;9310;0;0;-1;3;
9320;Examine;0;5;-1;-1;1.5;180;0;0;1.5;-0.25;0;180;-1;0;0;1;0;1;9320;0;0;-1;3;
9330;Examine;0;5;200;-1;3;90;0;0;3;-1.5;1;60;-1;0;0;0;0;0;9330;0;0;-1;3;
9500;Touch wall of thorns;0;5;-1;-1;1.5;180;0;0;1.5;-0.25;0;180;-1;0;0;1;0;1;9500;0;0;-1;3;
9501;Touch golden light;1;5;101;-1;0;180;1.5;2.8;1;-0.25;1;30;-1;0;0;1;0;1;9501;0;0;-1;3;
9503;Examine seal;0;5;-1;-1;1.5;180;0;0;1.5;-0.25;0;180;-1;0;0;1;0;1;9503;0;0;-1;3;
9504;Examine;0;5;-1;-1;1.5;180;0;0;1.5;-0.25;0;180;-1;0;0;1;0;1;1000;0;0;-1;3;
9505;Examine seal;0;5;-1;-1;1.5;180;0;0;1.5;-0.25;0;180;-1;0;0;1;0;1;9505;0;0;-1;3;
9506;Examine seal;1;5;101;-1;0;180;1.5;1.5;1;-0.25;1;90;-1;0;0;1;0;1;9506;0;0;-1;-1;
9519;Examine;0;5;-1;-1;1.5;180;0;0;1.5;-0.25;0;180;-1;0;0;1;0;1;1000;0;0;-1;3;
9520;Light flame;0;5;-1;-1;1.5;180;0;0;1.5;-0.25;0;180;-1;0;0;0;0;1;9520;0;0;-1;3;
9521;Touch phantom;0;5;-1;-1;1.5;180;0;0;1.5;-0.25;0;180;-1;0;0;1;0;1;9521;0;0;-1;3;
9522;Examine seal;1;5;-1;-1;0;180;2.5;2;1.5;-0.5;1;90;-1;0;0;1;0;1;9522;0;0;-1;3;
9523;Examine;0;5;191;-1;1;180;0;0;1.5;-0.25;0;180;-1;0;0;1;0;1;1000;0;0;-1;3;
9524;Light flame;0;5;201;-1;2;80;0;0;2;-1.5;0;180;-1;0;0;1;0;1;9524;0;0;-1;1;
9525;Touch horned remains;0;5;201;-1;3.5;180;0;0;1.5;0;0;180;-1;0;0;1;0;1;9525;0;0;-1;1;
9526;Go back;0;5;100;-1;2;180;0;0;2;-1;0;180;-1;0;0;1;0;1;9526;0;0;-1;1;
9527;Examine;0;5;-1;-1;2;180;0;0;1.5;-0.25;0;180;-1;0;0;1;0;1;1000;201;0;-1;3;
9528;Light flame;0;5;-1;-1;2;180;0;0;1.5;-0.25;0;180;-1;0;0;1;0;1;9528;0;0;-1;3;
9529;Examine seal;0;5;-1;-1;1.5;180;0;0;1.5;-0.25;0;180;-1;0;0;1;0;1;9529;0;0;-1;3;
9530;Examine seal;0;5;-1;-1;1.5;180;0;0;1.5;-0.25;0;180;-1;0;0;1;0;1;9530;0;0;-1;3;
9531;Examine;0;5;-1;-1;1.5;180;0;0;1.5;-0.25;0;180;-1;0;0;1;0;1;1000;0;0;-1;3;
9532;Pillage corpse;0;5;200;-1;1.5;90;0;0;2;-1.75;0;180;200;0;0;1;0;1;2010;16007690;0;-1;3;
9533;Examine;0;5;200;-1;1.5;90;0;0;3;-3;0;180;90;0;0;1;0;1;1000;0;0;-1;3;
9540;Summon Castellan Jerren;0;5;-1;-1;1.5;180;0;0;1.5;-0.75;0;180;-1;0;0;0;0;0;9540;0;0;-1;3;
9541;Summon Blaidd the Half-Wolf;0;5;-1;-1;1.5;180;0;0;1.5;-0.75;0;180;-1;0;0;0;0;0;9541;0;0;-1;3;
9542;Summon Alexander, Warrior Jar;0;5;-1;-1;1.5;180;0;0;1.5;-0.75;0;180;-1;0;0;0;0;0;9542;0;0;-1;3;
9543;Summon Great Horned Tragoth;0;5;-1;-1;1.5;180;0;0;1.5;-0.75;0;180;-1;0;0;0;0;0;9543;0;0;-1;3;
9544;Summon Okina;0;5;-1;-1;1.5;180;0;0;1.5;-0.75;0;180;-1;0;0;0;0;0;9544;0;0;-1;3;
9545;Summon Finger Maiden Therolina;0;5;-1;-1;1.5;180;0;0;1.5;-0.75;0;180;-1;0;0;0;0;0;9545;0;0;-1;3;
9546;Summon Lionel the Lionhearted;0;5;-1;-1;1.5;180;0;0;1.5;-0.75;0;180;-1;0;0;0;0;0;9546;0;0;-1;3;
9547;Summon Patches;0;5;-1;-1;1.5;180;0;0;1.5;-0.75;0;180;-1;0;0;0;0;0;9547;0;0;-1;3;
9550;Examine;0;5;-1;-1;1;180;0;0;1.5;-0.25;0;180;-1;0;0;1;0;1;1000;0;0;-1;3;
9600;Become the Elden Lord;0;5;-1;-1;1.5;180;0;0;1.5;-0.25;0;180;-1;0;0;1;0;1;9600;201;0;-1;3;
9610;Summon Ranni;0;5;-1;-1;1.5;180;0;0;1.5;-0.25;0;180;-1;0;0;1;0;1;9610;201;0;-1;3;
9620;Become the Lord of Frenzied Flame;0;5;-1;-1;2.2;75;0;0;1.5;-0.25;0;90;-1;0;0;1;0;1;9620;201;0;-1;3;
9630;Wear ring;0;5;-1;-1;2;90;0;0;5;-3;0;90;-1;0;0;1;0;1;9630;201;0;-1;3;
9640;Open door;0;5;-1;-1;1.5;180;0;0;1.5;-0.25;0;180;-1;0;0;1;0;1;9640;201;0;-1;3;
9650;;0;5;-1;-1;1.5;180;0;0;1.5;-0.25;0;180;-1;0;0;1;0;1;9650;201;0;-1;3;
9660;;0;5;-1;-1;8;180;0;0;2;-0.5;0;180;-1;0;0;1;0;1;9660;201;0;-1;3;
9700;Hoist medallion;0;4;-1;-1;3;180;0;0;2;-0.5;0;180;-1;0;0;1;0;1;9700;201;0;-1;3;
9701;Hoist secret medallion;0;5;-1;-1;3;180;0;0;2;-0.5;0;180;-1;0;0;1;0;1;9701;201;0;-1;3;
9710;Rest in coffin;1;5;110;111;0;180;4.6;2;2;-0.5;0;180;-1;0;0;1;0;1;9710;201;0;-1;3;
9711;Rest in coffin;1;5;110;111;0;180;6;8;2;-0.5;0;180;-1;0;0;1;0;1;9710;201;0;-1;3;
9720;Examine pedestal;0;5;-1;-1;1.5;180;0;0;4.5;-2;0;180;-1;0;0;1;0;1;9720;201;0;-1;3;
9721;Remove inverted statue;0;5;-1;-1;1.5;180;0;0;4.5;-2;0;180;-1;0;0;1;0;1;9721;201;0;-1;3;
9730;Open door;0;5;-1;-1;1.5;180;0;0;1.5;-0.25;0;180;-1;0;0;1;0;1;9730;201;0;-1;3;
9740;Lie down;0;5;-1;-1;1.5;180;0;0;1.5;-0.25;0;180;-1;0;0;1;0;1;9740;201;0;-1;3;
9750;;0;5;-1;-1;1.5;180;0;0;1.5;-0.25;0;180;-1;0;0;1;0;1;9750;201;0;-1;3;
9980;Examine;0;5;-1;-1;1.5;90;0;0;0.5;-0.25;0;45;-1;0;0;1;0;1;1000;0;0;-1;3;
9999;Examine;0;5;-1;-1;5;180;0;0;1.5;-0.25;0;90;-1;0;0;1;0;1;1000;6001;0;-1;3;
10000;Traverse the mist;1;5;101;-1;0;180;1.5;1.5;1;-0.25;1;90;-1;0;0;1;0;1;3200;0;0;-1;-1;
10001;Traverse the mist;1;5;101;-1;0;180;1.5;1.5;1;-0.25;1;90;-1;0;0;1;0;1;3200;0;0;-1;-1;
10010;Traverse the mist;1;5;101;-1;0;180;1.5;1.5;2;-0.25;1;90;-1;0;0;1;0;1;3200;0;0;-1;-1;
30000;;2;14;203;204;2;0;0;0;0;0;0;0;-1;0;0;0;0;0;30000;0;0;-1;3;
32270;;0;14;255;-1;4;180;0;0;2;-1.5;0;180;-1;0;0;0;0;0;30000;0;0;-1;3;
33180;;2;14;242;243;1.5;0;0;0;0;0;0;0;-1;0;0;0;0;0;30000;0;0;-1;3;
33181;;2;14;242;247;2;0;0;0;0;0;0;0;-1;0;0;0;0;0;30000;0;0;-1;3;
33950;;2;14;905;906;2;0;0;0;0;0;0;0;-1;0;0;0;0;0;30000;0;0;-1;3;
34220;;2;14;242;841;3;0;0;0;0;0;0;0;-1;0;0;0;0;0;30000;0;0;-1;3;
34280;;2;14;242;11;2;0;0;0;0;0;0;0;-1;0;0;0;0;0;30000;0;0;-1;3;
34420;;2;14;242;814;3;0;0;0;0;0;0;0;-1;0;0;0;0;0;30000;0;0;-1;3;
34490;;2;14;179;247;2;0;0;0;0;0;0;0;-1;0;0;0;0;0;30000;0;0;-1;3;
34500;;0;14;240;-1;10;180;0;0;5;-3;0;180;-1;0;0;0;0;0;30000;0;0;-1;3;
34550;;2;14;242;240;2;0;0;0;0;0;0;0;-1;0;0;0;0;0;30000;0;0;-1;3;
34560;;2;14;179;90;3;0;0;0;4;0;0;0;-1;0;0;0;0;0;30000;0;0;-1;3;
34630;;2;14;201;205;4.5;0;0;0;0;0;0;0;-1;0;0;0;0;0;30000;0;0;-1;3;
