Row ID;Row Name;slot0;slot1;slot2;slot3;slot4;slot5;slot6;slot7;slot8;slot9;slot10;slot11;slot12;slot13;slot14;slot15;slot16;slot17;slot18;slot19;slot20;slot21;slot22;slot23;slot24;slot25;slot26;slot27;slot28;slot29;slot30;slot31;slot32;slot33;slot34;slot35;slot36;slot37;slot38;slot39;slot40;slot41;slot42;slot43;slot44;slot45;slot46;slot47;slot48;slot49;slot50;slot51;slot52;slot53;slot54;slot55;slot56;slot57;slot58;slot59;slot60;slot61;slot62;slot63;slot64;slot65;slot66;slot67;slot68;slot69;slot70;slot71;slot72;slot73;slot74;slot75;slot76;slot77;slot78;slot79;slot80;slot81;slot82;slot83;slot84;slot85;slot86;slot87;slot88;slot89;slot90;slot91;slot92;slot93;slot94;slot95;slot96;slot97;slot98;slot99
603654022;;1;0;0;1;0;1;0;0;1;1;1;0;1;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;1;1;0;0;1;1;0;1;1;0;1;0;0;0;0;0;0;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;1;0;1;1;1;0;0;1;
603654023;;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;1;1;1;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;1;1;1;0;1;0;1;1;1;0;0;1;1;1;1;1;0;1;0;1;1;0;1;1;1;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;
603654024;;0;1;1;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0;1;1;0;0;0;1;1;0;0;0;1;0;0;1;1;0;1;0;0;1;0;1;1;1;1;1;0;0;1;0;0;1;0;0;0;0;0;1;1;1;0;0;1;1;1;0;1;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;1;0;1;
603654025;;1;0;0;0;0;0;1;0;1;0;0;1;1;1;0;0;1;1;0;0;0;1;1;1;1;0;1;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;1;1;1;1;0;0;1;1;0;1;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;1;0;1;0;0;1;0;0;1;
603654026;;1;0;0;0;0;0;0;1;0;1;1;0;1;0;0;1;0;0;0;0;1;0;0;0;1;1;1;0;1;1;1;1;0;0;1;1;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;1;1;1;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;1;1;1;1;1;0;1;1;1;1;0;0;1;0;0;0;1;1;1;0;1;0;1;0;1;1;0;
603654027;;0;1;1;0;0;0;0;1;1;1;0;0;0;0;1;0;1;0;1;0;0;1;0;1;0;1;0;1;0;0;0;1;1;0;0;0;1;1;1;1;0;1;0;0;0;0;1;0;1;1;1;0;0;1;0;1;0;1;0;1;0;0;1;0;0;1;0;0;1;1;1;1;1;0;1;0;1;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;1;0;0;
603654028;;1;0;1;0;1;0;1;1;0;1;0;1;1;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;1;1;1;1;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;1;0;0;1;1;1;1;0;0;0;1;1;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;1;1;1;1;1;0;0;0;
603654029;;0;1;1;0;1;1;0;1;1;0;1;1;0;1;1;1;1;0;1;1;1;0;1;0;0;0;0;0;0;0;1;1;1;1;0;0;1;0;1;1;0;1;1;1;1;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;1;1;1;0;1;0;1;1;0;1;0;0;0;1;1;0;0;1;1;0;0;1;0;1;0;0;0;0;1;0;0;1;1;1;1;0;1;1;0;
603654030;;0;1;0;1;0;1;1;0;1;0;0;1;0;1;1;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;1;1;0;0;0;1;1;1;0;0;0;1;0;1;1;0;0;1;1;1;0;0;0;0;1;0;0;1;1;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;
603654031;;0;0;1;1;0;1;1;0;0;0;1;0;0;1;1;1;0;1;0;1;1;0;1;0;0;0;0;1;0;1;1;1;1;0;1;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;1;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;1;1;1;1;1;1;0;0;1;1;0;0;0;1;0;0;0;
603654032;;1;0;0;1;1;0;1;0;0;1;0;1;0;0;1;0;0;1;0;1;0;1;0;0;0;1;0;1;0;1;1;0;0;1;1;0;0;1;1;0;1;1;0;0;1;1;1;0;0;0;1;1;1;0;0;0;1;1;1;1;0;1;0;0;1;1;0;1;0;0;0;1;0;1;1;0;1;1;1;1;1;0;0;1;1;1;0;1;1;0;0;1;0;0;1;1;0;0;0;1;
603654033;;0;1;0;1;1;1;1;1;1;0;0;0;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;1;0;1;1;1;0;0;1;1;0;1;1;1;0;0;1;1;0;0;0;1;1;1;0;1;1;1;0;1;1;1;1;0;1;0;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;0;0;0;1;1;0;
603654034;;0;1;1;0;1;1;0;0;0;1;0;0;1;0;0;1;1;0;0;1;1;0;0;0;0;1;1;1;1;0;0;0;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;0;1;1;1;1;0;1;0;0;1;1;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;1;1;1;1;1;0;0;1;0;1;1;1;1;
603741000;;1;1;1;0;1;1;1;0;1;1;0;1;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;1;0;1;0;1;1;1;0;1;0;0;1;0;1;1;0;1;0;1;1;1;0;0;0;1;1;1;1;1;0;1;1;1;1;0;0;1;1;1;1;1;1;0;1;0;0;1;1;1;1;1;1;0;1;1;1;1;0;1;0;0;1;1;1;0;1;0;1;1;1;0;0;1;
603741001;;0;1;1;1;0;1;0;1;1;1;1;0;1;0;1;1;1;0;1;1;1;0;0;1;1;0;0;1;1;1;1;1;1;0;1;0;1;1;1;1;1;0;1;1;1;1;0;0;1;1;1;1;0;0;1;1;1;1;1;1;1;0;1;1;0;1;1;1;0;1;1;1;1;1;1;0;1;0;0;0;0;1;1;0;0;0;1;1;1;1;1;0;1;0;1;0;1;1;1;1;
603741002;;1;1;0;1;1;0;1;1;0;0;1;1;1;1;0;1;0;1;0;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;1;1;0;0;1;1;0;1;1;0;1;1;0;0;1;0;1;1;1;1;0;1;1;1;0;1;0;1;0;1;1;0;1;0;0;0;0;1;1;
603741003;;1;0;1;1;0;1;0;1;1;1;0;1;0;1;1;0;1;1;1;1;1;1;1;0;1;1;1;0;1;0;0;0;0;1;0;1;0;1;0;0;1;1;0;1;0;0;1;0;0;1;1;0;1;1;0;1;1;0;1;1;1;1;1;1;1;0;0;0;1;0;1;1;0;0;1;0;1;1;1;1;0;1;0;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;
603741004;;1;0;0;1;1;1;1;1;1;0;1;0;0;1;0;1;1;1;1;0;0;0;0;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;0;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;0;1;0;0;1;1;1;0;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;0;
603741005;;0;1;1;0;1;0;1;0;0;1;1;1;1;0;1;0;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;0;0;0;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;0;0;0;1;1;1;1;1;0;0;0;0;1;0;0;1;0;0;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;0;0;1;1;1;1;0;1;0;1;0;1;0;1;0;1;0;0;
603741006;;1;0;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;0;1;1;1;0;1;0;1;1;1;1;1;0;1;1;1;0;0;1;1;1;0;0;1;1;1;1;1;1;0;0;1;0;1;1;1;1;1;1;0;1;0;0;1;1;1;1;1;1;0;1;1;1;0;0;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;
603741007;;0;1;1;1;1;1;1;0;1;1;0;1;0;0;0;0;0;1;1;0;0;1;0;0;1;0;1;1;1;0;1;1;1;1;1;1;0;0;1;1;0;1;1;1;0;1;0;1;1;1;1;0;1;1;1;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;0;1;0;1;0;1;1;1;0;1;0;1;0;0;0;0;1;1;1;1;
603741008;;1;0;0;1;1;1;1;1;0;0;1;1;1;0;0;1;1;0;1;1;1;0;1;1;1;0;1;0;0;1;0;1;0;0;1;1;1;1;0;0;1;1;1;1;0;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;0;1;0;1;0;0;1;1;0;1;1;1;0;1;1;1;0;1;0;
603741009;;0;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;1;0;1;1;0;0;1;0;1;0;1;1;1;1;0;0;1;1;1;1;1;1;0;1;0;1;1;1;0;0;0;1;1;0;0;1;1;1;0;0;1;1;0;1;0;1;1;0;0;1;0;1;1;1;0;0;0;1;0;0;1;1;1;1;0;0;0;0;1;1;1;0;0;0;1;1;1;0;1;0;1;
603741010;;1;1;1;1;0;0;1;0;1;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0;1;1;0;1;0;1;1;1;1;1;1;0;0;1;0;1;0;1;1;0;1;0;0;1;0;0;1;1;1;1;0;1;1;1;0;1;0;1;1;1;1;0;1;1;1;1;1;1;1;0;1;0;1;0;1;1;1;0;1;1;0;0;
603741011;;1;1;1;0;1;1;0;1;0;1;1;0;0;1;1;0;1;1;1;1;1;0;0;1;1;1;1;0;1;0;1;0;1;1;1;0;1;1;1;0;1;0;1;1;1;0;0;1;1;1;0;1;1;0;0;0;0;1;1;1;1;0;1;1;0;0;0;1;1;0;0;0;1;0;1;1;0;0;0;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;0;1;0;1;1;1;
603741012;;0;1;1;0;0;0;0;0;0;0;1;1;0;1;1;1;1;0;1;0;0;0;1;0;0;1;1;0;0;1;0;1;0;0;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;1;1;1;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;1;1;0;1;0;1;1;0;1;1;1;0;0;0;1;1;
603741013;;0;1;0;0;1;1;0;1;1;0;0;0;1;0;1;1;1;0;1;0;1;1;1;1;0;0;0;1;0;1;1;0;1;0;0;0;1;1;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;
603741014;;1;0;0;1;1;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;1;1;1;0;0;1;0;1;1;1;1;1;1;0;1;1;1;1;1;0;0;0;0;1;0;1;1;0;1;0;0;1;0;1;0;0;0;1;0;1;1;0;0;0;1;1;1;1;0;1;1;0;1;1;1;0;0;0;0;0;1;0;1;0;1;1;1;1;0;0;0;0;1;0;1;0;0;
603741015;;1;0;0;0;1;1;1;0;0;0;1;1;1;1;0;0;0;1;0;1;0;1;0;0;1;1;1;0;1;0;0;0;1;1;0;1;0;1;0;0;1;0;1;1;1;1;1;1;1;1;0;0;0;0;1;1;0;0;1;1;0;0;1;1;0;0;1;0;1;0;1;0;0;1;1;0;0;0;1;0;1;1;1;0;1;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;
603741016;;0;1;0;0;1;0;1;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;0;1;0;0;1;0;0;0;0;1;0;1;0;0;1;0;1;0;1;1;0;0;1;1;0;0;0;0;1;0;1;1;1;1;0;1;0;1;0;1;1;0;0;0;1;0;0;1;1;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;
603741017;;0;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;1;1;1;1;0;0;1;1;0;0;1;1;1;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0;1;1;1;1;1;0;1;1;1;0;0;1;1;0;0;1;0;1;0;0;0;1;0;0;1;0;1;0;1;1;0;1;1;0;0;0;
603741018;;1;0;1;1;0;0;0;0;1;0;0;1;1;1;0;0;1;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;1;1;1;0;1;0;0;1;1;0;0;1;0;1;1;1;0;1;0;1;0;1;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;1;1;1;1;1;1;0;0;0;1;0;0;
603741019;;0;0;1;1;0;0;0;1;0;1;1;1;1;0;0;1;0;1;1;1;0;1;0;0;1;0;0;0;1;1;1;0;0;1;1;0;0;0;0;1;1;0;1;0;0;1;1;1;0;1;0;1;0;0;0;1;0;0;0;1;0;1;0;1;0;0;1;0;1;1;1;1;0;0;1;1;1;1;1;1;1;1;0;0;1;0;1;0;0;1;0;1;0;1;0;0;0;1;1;1;
603741020;;1;0;1;0;0;1;1;1;1;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;1;0;1;0;1;1;0;1;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;1;0;1;0;0;1;1;0;1;1;1;0;1;1;
603741021;;0;0;1;0;1;0;0;1;1;0;0;1;1;1;0;1;0;0;0;1;0;1;0;1;1;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;1;1;0;1;0;0;1;0;0;1;1;0;0;0;0;
603741022;;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;1;1;0;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;0;1;1;0;0;1;0;1;0;0;1;0;1;1;0;0;1;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;
603741023;;0;1;0;1;0;0;1;0;0;1;1;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;1;0;1;0;1;1;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;
603741024;;0;1;0;1;0;0;0;0;1;0;0;0;1;1;0;0;1;0;1;1;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;0;0;1;0;1;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;1;
603741025;;0;0;0;0;1;1;1;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;1;1;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;1;0;1;0;1;0;0;0;1;1;1;1;0;1;1;0;1;0;0;1;1;0;1;1;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;
603741026;;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;1;0;1;
603741027;;0;0;1;1;0;0;1;1;1;0;1;0;0;0;1;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;1;1;0;1;0;1;0;1;1;0;0;0;1;0;0;0;0;1;0;0;1;1;0;1;0;
603741028;;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;1;0;1;0;0;0;0;1;0;1;0;1;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;1;1;0;1;0;0;0;0;1;1;0;0;0;0;0;
603741029;;0;1;1;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;1;1;0;0;0;1;0;1;0;0;0;0;1;0;1;0;1;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;
603741030;;0;0;1;0;0;1;1;0;1;0;0;0;1;0;0;1;0;0;0;1;0;1;1;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;1;0;1;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;1;1;1;0;0;1;0;1;0;0;0;0;0;1;1;0;1;0;
603741031;;0;1;1;0;0;0;1;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;
603741032;;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;1;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;1;0;1;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;1;0;1;1;1;1;1;0;0;1;1;0;
603741033;;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0;1;0;0;1;0;0;0;0;1;0;1;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;
603741034;;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;1;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;1;1;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;1;0;0;1;0;0;1;0;0;
603741035;;0;1;0;0;1;1;0;0;1;1;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;1;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;
603741036;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
603742000;;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
603742001;;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;
603742002;;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;1;1;0;
603742003;;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;1;
603742004;;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;1;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;
603742005;;0;0;1;0;0;1;0;0;0;0;1;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
603742006;;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;
603742007;;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;
603742008;;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;1;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;
603742009;;0;0;1;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;1;
603742010;;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;1;1;0;0;1;0;0;
603742011;;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;1;1;1;0;1;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;1;0;1;1;0;0;0;0;1;1;0;1;0;0;1;0;1;0;0;1;0;0;0;0;
603742012;;1;0;0;1;0;0;0;1;1;0;0;1;0;1;1;0;0;0;0;0;0;0;1;1;0;1;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;
603742013;;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;
603742014;;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;
